repo,has_travis,has_gitlab_ci,has_appveyor,has_pkgdown,has_gitignore,has_rbuildignore,has_rproj
thomasp85/gganimate,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
thomasp85/ggforce,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
thomasp85/lime,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidymodels/infer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidyverse/broom,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidyverse/dplyr,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidyverse/googlesheets4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidyverse/ggplot2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidyverse/glue,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidyverse/lubridate,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidyverse/purrr,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidyverse/readr,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidyverse/readxl,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidyverse/reprex,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidyverse/rvest,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidyverse/tidyverse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tidyverse/tidyr,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
topepo/caret,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tylermorganwall/rayshader,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
wesm/feather,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
wilkelab/cowplot,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
xtensor-stack/xtensor,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
yihui/knitr,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
yihui/xaringan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
